icao,name,callsign,country
DSH,Dash Air Charter,DASH CHARTER,United States
DSK,Aero Algarve,SKYBANNER,Portugal
DSL,Meridian Aviation,DIESEL,United Kingdom
DSM,LAN Argentina,LAN AR,Argentina
DSN,DESNA,DESNA,Ukraine
DSO,Dassault Falcon Service,DASSAULT,France
DSQ,Dasab Airlines,DASAB AIR,Uganda
DSR,DAS Air Cargo,DAIRAIR,Uganda
DST,Aex Air,DESERT,United States
DSU,Delta State University,DELTA STATE,United States
DSV,Direct Aero Services,,Romania
DSY,Dennis Sky,DSY,Israel
DTA,TAAG Angola Airlines,DTA,Angola
DTH,Tassili Airlines,TASSILI AIR,Algeria
DTN,Data International,DATA AIR,Sudan
DTR,DAT Danish Air Transport,DANISH,Denmark
DTV,Centre Airlines,DUTCH VALLEY,United States
DTY,Destiny Air Services,DESTINY,Sierra Leone
DUB,Dubai Airwing,DUBAI,United Arab Emirates
DUK,Ducair,LION KING,Luxembourg
DUN,Dun'Air,DUNAIR,Mauritania
DUO,Duo Airways,FLY DUO,United Kingdom
DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
DVB,Don Avia,DONSEBAI,Kazakhstan
DVI,Aero Davinci International,AERO DAVINCI,Mexico
DWA,Dense Airways,DENSE,United States
DWD,Deutsche Luftverkehrsgesellschaft (DLT),,Germany
DWN,Dawn Air,DAWN AIR,United States
DWR,Delaware Skyways,DELAWARE,United States
DWT,Darwin Airline,DARWIN,Switzerland
DWW,Jet Courier Service,DON JUAN,United States
DXH,East Star Airlines,EAST STAR,China
DXP,Dallas Express Airlines,DALLAS EXPRESS,United States
DXT,Dexter (DXT),Dexter,Russia
DYA,Dynamic Airways,,United States
DYE,Dynamic Air,DYNAMIC,Netherlands
DYN,Aero Dynamics,AERO DYNAMIC,United States
EAA,Eastok Avia,,Kyrgyzstan
EAB,Swiss Eagle,SWISS EAGLE,Switzerland
EAC,Executive Air Charter,EXECAIR,United States
EAD,EAA Escola De Aviacao Aerocondor,AERO-ESCOLA,Portugal
EAE,Aeroservicios Ecuatorianos,AECA,Ecuador
EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
EAG,European Aeronautical Group UK,,United Kingdom
EAH,Baltimore Airways,EASTERN,United States
EAI,Elite Air,ELAIR,Togo
EAK,Euro-Asia Air,EAKAZ,Kazakhstan
EAL,European Air Express,STAR WING,Germany
EAM,Embassy Airlines,EMBASSY AIR,Nigeria
EAN,Skypower Express Airways,NIGERIA EXPRESS,Nigeria
EAP,Aero-Pyrenees,AERO-PYRENEES,France
EAQ,Eastern Australia Airlines,,Australia
EAR,Transporte Ejecutivo Aereo,EJECUTIVO-AEREO,Mexico
EAS,Executive Aerospace,AEROSPACE,South Africa
EAT,Air Transport,TRANS EUROPE,Slovakia
EAV,Eastern Atlantic Virtual Airlines,EAVA,United States
EAX,Eastern Air Executive,EASTEX,United Kingdom
EAY,Aero Airlines,REVAL,Estonia
EAZ,Eastern Air,EASAIR,Zambia
EBA,Bond Aviation,BOND AVIATION,Italy
EBC,Aero Ejecutivo De Baja California,CALIXJET,Mexico
EBE,Minebea Technologies,MINEBEA,United States
EBF,MSR Flug-Charter,SKYRUNNER,Germany
EBG,Eurosense,EUROSENSE,Bulgaria
EBJ,European Business Jets,,United Kingdom
ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
ECB,European Coastal Airlines,COASTAL CLIPPER,Croatia
ECC,Crossair Europe,Cigogne,Switzerland
ECD,Ecotour,ECOTOUR,Mexico
ECE,Air City,AIRCITY,Germany
ECF,Eurocopter,EUROCOPTER,France
ECG,Aero Ejecutivos RCG,EJECTUIVOS RCG,Mexico
ECI,Eastern Carolina Aviation,EASTERN CAROLINA,United States
ECJ,East Coast Jets,EASTCOAST JET,United States
ECL,Aeronautica Castellana,AERO CASTELLANA,Spain
ECM,Aerolineas Comerciales,AERO COMERCIALES,Mexico
ECN,Euro Continental AIE,EURO CONTINENTAL,Spain
ECQ,Eco Air,SKYBRIDGE,Nigeria
ECS,Executive Aircraft Charter and Charter Services,ECHO,Ireland
ECT,East Coast Airways,EASTWAY,South Africa
ECU,Ecuavia,ECUAVIA,Ecuador
ECV,Ecuatoguineana De Aviacion (EGA),EQUATOGUINEA,Equatorial Guinea
ECX,Ecomex Air Cargo,AIR ECOMEX,Angola
ECY,Euroceltic Airways,ECHELON,United Kingdom
EDA,Aerolineas Nacionales Del Ecuador,ANDES,Ecuador
EDC,Edinburgh Air Charter,SALTIRE,United Kingdom
EDD,Lineas Aereas Ejectuivas De Durango,LINEAS DURANGO,Mexico
EDI,Eastern Atlantic Charters,,United States
EDJ,Edwards Jet Center of Montana,EDWARDS,United States
EDL,Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany
EDO,Elidolomiti,ELIDOLOMITI,Italy
EDR,Lineas Aereas Eldorado,ELDORADRO,Colombia
EDW,Edelweiss Air,EDELWEISS,Switzerland
EEA,Empresa Ecuatoriana De Aviacion,ECUATORIANA,Ecuador
EET,Air Este,AESTE,Spain
EEU,Eurofly Service,EUROFLY,Italy
EEZ,Eurofly,E-FLY,Italy
EFA,Far Eastern Air Transport,Far Eastern,Taiwan
EFC,Air Mana,FLIGHT TAXI,France
EFD,EFD Eisele Flugdienst,EVER FLIGHT,Germany
EFG,Elifriulia,ELIFRIULIA,Italy
EFS,EFAOS- Agencia De Viagens e Turismo,EFAOS,Angola
EFT,Embassy Freight Company,EMBASSY FREIGHT,United States
EFY,EasyFly,EASYFLY,Colombia
EGF,American Eagle Airlines,EAGLE FLIGHT,United States
EGH,BBN-Airways,BBN,United Kingdom
EGJ,Eagle Jet Charter,EAGLE JET,United States
EGL,Capital Trading Aviation,PRESTIGE,United Kingdom
EGN,Eagle Aviation France,FRENCH EAGLE,France
EGO,Gauteng Air Cargo,GAUTENG,South Africa
EGR,Eagle Air,EAGLE SIERRA,Sierra Leone
EGS,Eagles Airlines,EAGLES,Italy
EGU,Eagle Aviation,AFRICAN EAGLE,Uganda
EGV,Enrique Gleisner Vivanco,GLEISNER,Chile
EGX,Eagle Air Company,THAI EAGLE,Thailand
EGY,Egyptian Air Force,,Egypt
EHA,East Hampton Aire,AIRE HAMPTON,United States
EHD,E H Darby Aviation,PLATINUM AIR,United States
EHM,Euro Harmony,,Portugal
EHN,East Horizon,EAST HORIZON,Afghanistan
EHR,Valfell-Verkflug,ROTOR,Iceland
EIA,Evergreen International Airlines,EVERGREEN,United States
EIC,Express International Cargo,EXCARGO,S
EIJ,Efata Papua Airlines,EFATA,Indonesia
EIN,Aer Lingus,SHAMROCK,Ireland
EIR,Eirjet,EIRJET,Ireland
EIS,EIS Aircraft,COOL,Germany
EIX,Ei Air Exports,AIR EXPORTS,Ireland
EJA,NetJets,EXECJET,United States
EJC,Grupo De Aviacion Ejecutiva,GRUPOEJECUTIVA,Mexico
EJD,Elite Jets,ELITE DUBAI,United Arab Emirates
EJM,Executive Jet Management,JET SPEED,United States
EJO,Execujet Middle East,MIDJET,United Arab Emirates
EJP,Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico
EJS,Eurojet Servis,EEJAY SERVICE,Czech Republic
EJT,Eclipse Aviation,ECLIPSE JET,United States
EJV,Compania Ejecutiva,EJECUTIVA,Mexico
EJX,Egyptian Aviation,,Egypt
EKA,Equaflight Service,EQUAFLIGHT,Republic of the Congo
EKC,East Kansas City Aviation,BLUE GOOSE,United States
ELA,Eastland Air,,Australia
ELB,Elieuro,ELILOBARDIA,Italy
ELC,Small Planet Airlines,,Lithuania
ELG,Alpi Eagles,ALPI EAGLES,Italy
ELH,Elilario Italia,LARIO,Italy
ELJ,Delta Air Elite,ELITE JET,United States
ELK,ELK Airways,,Estonia
ELL,Estonian Air,ESTONIAN,Estonia
ELM,Crelam,CRELAM,Mexico
ELO,Eurolot,EUROLOT,Poland
ELR,Elrom Aviation and Investments,,Israel
ELS,El Sal Air,EL SAL,El Salvador
ELT,Elliott Aviation,ELLIOT,United States
ELV,Transportes Aereos Nacionales De Selva Tans,AEREOS SELVA,Peru
ELW,Yellow Wings Air Services,YELLOW WINGS,Kenya
ELX,Elan Express,ELAN,United States
ELY,El Al Israel Airlines,ELAL,Israel
EMA,Egyptian Aviation Company,,Egypt
EMB,Empresa Brasileira De Aeronautica,EMBRAER,Brazil
EMD,Eaglemed (Ballard Aviation),EAGLEMED,United States
EME,Eastern Metro Express,EMAIR,United States
EMI,Premium Air Shuttle,BLUE SHUTTLE,Nigeria
EMN,Examiner Training Agency,AGENCY,United Kingdom
EMP,Empire Air Service,EMPIRE,United States
EMR,Zenmour Airlines,ZENMOUR,Mauritania
EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico
EMT,Emetebe,EMETEBE,Ecuador
EMU,East Asia Airlines,,Macao
EMX,Euromanx Airways,EUROMANX,Austria
ENA,Direccion General de Aviacion Civil y Telecomunicasciones,ENA,Spain
ENC,Endecots,ENDECOTS,Ecuador
END,Arrendoora y Transportadora Aerea,ARRENDADORA,Mexico
ENI,Enimex,ENIMEX,Estonia
ENJ,Enerjet,ENERJET AIR,Canada
ENK,Enkor JSC,ENKOR,Russia]]
ENR,Scenic Air,,Namibia
ENS,Entergy Services,ENTERGY SHUTTLE,United States
ENT,DAT Enterprise Limited,DATENT,United Kingdom
ENV,Victoria Aviation,ENDEAVOUR,United Kingdom
ENW,Aeronaves Del Noroeste,AERONOR,Spain
ENY,Envoy Air,Envoy,United States
ENZ,Jota Aviation,ENZO,United Kingdom
EOA,Elilombarda,LOMBARDA,Italy
EOL,Airailes,EOLE,France
EOM,Aero Ermes,AERO ERMES,Mexico
EOS,Eliossola,ELIOSSOLA,Italy
EPA,Shenzhen Donghai Airlines,DONGHAI AIR,China
EPB,Eastern Pacific Aviation,EAST PAC,Canada
EPC,Espace Aviation Services,ESPACE,Democratic Republic of the Congo
EPE,Aero Empresarial,AEROEMPRESARIAL,Mexico
EPL,Aero Transportes Empresariales,EMPRESARIALES,Mexico
EPS,Epps Air Service,EPPS AIR,United States
EQC,Ecuatorial Cargo,ECUA-CARGO,Equatorial Guinea
EQL,Air S,EQUATORIAL,Air S
EQT,Equatorial Airlines,,Equatorial Guinea
EQZ,Equatair Air Services (Zambia),ZAMBIA CARGO,Zambia
ERC,Esso Resources Canada,ESSO,Canada
ERE,Erie Airways,AIR ERIE,United States
ERF,Erfoto,ERFOTO,Portugal
ERG,Avianergo,AVIANERGO,Russia
ERH,Era Helicopters,ERAH,United States
ERI,Aero Servicios Regiomontanos,ASERGIO,Mexico
ERJ,Eurojet Italia,JET ITALIA,Italy
ERK,Aerosec,AEROSEC,Chile
ERM,Aeromaan,EOMAAN,Mexico
ERO,Sun D'Or,ECHO ROMEO,Israel
ERR,Era Alaska,ERAH,United States
ERT,Eritrean Airlines,ERITREAN,Eritrea
ERV,Yerevan-Avia,YEREVAN-AVIA,Armenia
ERX,Earth Airlines Services,EARTH AIR,Nigeria
ESB,Aerosaba,AEROSABA,Mexico
ESC,El Sol De America,SOLAMERICA,Venezuela
ESE,Ensenada Vuelos Especiales,ENSENADA ESPECIAL,Mexico
ESF,Estafeta Carga Aerea,,Mexico
ESI,ESI Eliservizi Italiani,ELISERVIZI,Italy
ESJ,Eastern Sky Jets,EASTERN SKYJETS,United Arab Emirates
ESK,SkyEurope,RELAX,Slovakia
ESL,Russian Sky Airlines,RADUGA,Russia
ESN,Euro Sun,EURO SUN,Turkey
ESO,Avitat,,United Kingdom
ESR,Eastar Jet,Eastar,South Korea
ESS,Eos Airlines,NEW DAWN,United States
EST,Carga Express Internacional,CARGAINTER,Mexico
ESU,Aerolineas Ejecutivas Del Sureste,ALESUR,Mexico
ESX,Euroskylink,CATFISH,United Kingdom
ESZ,Aeronautica Le Esperanza,ESPERANZA,Mexico
ETA,Estrellas Del Aire,ESTRELLAS,Mexico
ETC,ATTICO,TRANATTICO,Sudan
ETD,Etihad Airways,ETIHAD,United Arab Emirates
ETE,Aero Siete,AEROSIETE,Mexico
ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
ETL,Patterson Aviation Company,ENTEL,United States
ETM,Etram Air Wing,ETRAM,Angola
ETN,Chim-Nir Aviation,CHMINIR,Israel
ETP,Empire Test Pilots' School,TESTER,United Kingdom
ETS,Flygtransporter I Nykoping,EXTRANS,Sweden
ETV,European Executive,EURO EXEC,United Kingdom
EUC,Eurocontrol,,Belgium
EUD,Air Italy Egypt,,Egypt
EUG,Euroguineana de Aviacion,EUROGUINEA,Equatorial Guinea
EUJ,EUjet,UNION JET,Ireland
EUK,Air Atlanta Europe,SNOWBIRD,United Kingdom
EUP,Euroair,EUROSTAR,Greece
EUT,European 2000 Airlines,FIESTA,Malta
EUU,Euroamerican Air,EUROAMERICAN,Uruguay
EUV,EuropeSky,EuropeSky,Germany
EUY,EU Airways,EUROAIRWAYS,Ireland
EVA,EVA Air,EVA,Taiwan
EVC,Comfort Express Virtual Charters Albany,Comfort Express,United States
EVE,Air Evex,SUNBEAM,Germany
EVM,Natural Environment Research Council,SCIENCE,United Kingdom
EVN,Euraviation,EURAVIATION,Italy
EVR,Aeronautical Academy of Europe,DIANA,Portugal
EWA,East-West Airlines,EASTWEST,Australia
EWG,Eurowings,EUROWINGS,Germany
EWS,Enterprise World Airways,WORLD ENTERPRISE,Democratic Republic of the Congo
EWW,Emery Worldwide Airlines,EMERY,United States
EXA,Execair Aviation,CANADIAN EXECAIRE,Canada
EXB,Brazilian Army Aviation,BRAZILIAN ARMY,Brazil
EXC,European Executive Express,ECHO EXPRESS,Sweden
EXE,Executive Flight,EXEC,United States
EXF,Eximflight,EXIMFLIGHT,Mexico
EXG,Air Exchange,EXCHANGE,United States
EXH,G5 Executive,BATMAN,Germany
EXJ,Executive Jet Charter,,United Kingdom
EXK,Executive Airlines,EXECUTIVE EAGLE,United States
EXL,Sunshine Express Airlines,,Australia
EXM,United Kingdom Civil Aviation Authority,EXAM,United Kingdom
EXN,Exin,EXIN,Poland
EXP,Business Express Delivery,EXPRESS AIR,Canada
EXR,Expertos En Carga,EXPERTOS ENCARGA,Mexico
EXS,Jet2.com,CHANNEX,United Kingdom
EXT,Night Express,EXECUTIVE,Germany
EXU,Executive Airlines,SACAIR,Spain
EXV,Expo Aviation,EXPOAVIA,Sri Lanka
EXW,Executive Airlines Services,ECHOLINE,Nigeria
EXX,International Air Corporation,EXPRESS INTERNATIONAL,United States
EXY,South African Express,EXPRESSWAYS,South Africa
EXZ,East African Safari Air Express,TWIGA,Kenya
EYE,F.S. Air Service,SOCKEYE,United States
EZA,Eznis Airways,EZNIS,Mongolia
EZB,Flugschule Eichenberger,EICHENBURGER,Switzerland
EZE,Eastern Airways,EASTFLIGHT,United Kingdom
EZY,easyJet,EASY,United Kingdom
FAB,First Air,,Canada
FAC,Atlantic Helicopters,FAROECOPTER,Denmark
FAD,Rog-Air,AIR FRONTIER,Canada
FAE,Freshaer,WILDGOOSE,United Kingdom
FAF,Force Aerienne Francaise,FRENCH AIR FORCE,France
FAG,Argentine Air Force,FUAER,Argentina
FAH,Farnair Hungary,BLUE STRIP,Hungary
FAJ,Air Fiji,FIJIAIR,Fiji
FAK,Financial Airxpress,FACTS,United States
FAL,Friendship Air Alaska,FRIENDSHIP,United States
FAM,Fumigacion Aerea Andaluza,FAASA,Spain
FAN,AF-Air International,FANBIRD,Angola
FAO,Falcon Air Express,PANTHER,United States
FAP,Parsons Airways Northern,,Canada
FAR,Falcon Air,FALCAIR,Slovenia
FAS,Freedom Airways,FREEDOM AIRWAYS,Cyprus
FAT,Farnair Switzerland,FARNER,Switzerland
FAU,Falcon Airline,FALCON AIRLINE,Nigeria
FAV,Fair Aviation,FAIRAVIA,South Africa
FAW,Falwell Aviation,FALWELL,United States
FAX,Midwest Air Freighters,FAIRFAX,United States
FAY,Fayban Air Services,FAYBAN AIR,Nigeria
FAZ,Flint Aviation Services,FLINT AIR,United States
FBA,Fab Air,FAB AIR,Kyrgyzstan
FBF,Fine Airlines,FINE AIR,United States
FBL,Fly Brasil,FBL,Brazil
FBO,TAG Farnborough Airport,,United Kingdom
FBW,Aviation Data Systems,,United States
FCA,First Choice Airways,JETSET,United Kingdom
FCB,COBALT,COBALT,Cyprus
FCC,First Cambodia Airlines,FIRST CAMBODIA,Cambodia
FCE,Flycolumbia,FLYCOLUMBIA,Spain
FCI,Air Carriers,FAST CHECK,United States
FCK,Flight Calibration Service,NAV CHECKER,Germany
FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States
FCM,Flybe Finland Oy,FINNCOMM,Finland
FCN,Falcon Air,FALCON,Sweden
FCO,Aerofrisco,AEROFRISCO,Mexico
FCP,Flight Corporation,FLIGHTCORP,New Zealand
FCR,Flying Carpet Company,FLYING CARPET,Lebanon
FCS,Facts Air,MEXFACTS,Mexico
FCT,Fly CI Limited,DEALER,United Kingdom
FCU,Alfa 4,,Mexico
FCV,Flight Centre Victoria,NAVAIR,Canada
FDA,African Airlines,AIR SANKORE,Mali
FDB,Fly Dubai,,United Arab Emirates
FDD,Feeder Airlines,,Sudan
FDF,IVV Femida,,Russia
FDL,Farmingdale State University,FARMINGDALE STATE,United States
FDN,Flying Dolphin Airlines,FLYING DOLPHIN,United Arab Emirates
FDO,France Douanes,FRENCH CUSTOM,France
FDP,Flight Dispatch Services,,Poland
FDR,Federal Air,FEDAIR,South Africa
FDS,African Medical and Research Foundation,FLYDOC,Kenya
FDX,Federal Express,FEDEX,United States
FEC,Denver Express,FALCON EXPRESS,United States
FED,Lineas Aereas Federales,FEDERALES,Argentina
FEE,Fly Europa Limited,FLY EURO,United Kingdom
FEG,FlyEgypt,,Egypt
FEI,Eagle Air Iceland,ARCTIC EAGLE,Iceland
FEO,Aeroferinco,FERINCO,Mexico
FER,Feria Aviacion,FERIA,Spain
FES,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico
FEX,Flightexec,FLIGHTEXEC,Canada
FFA,Avialesookhrana,AVIALESOOKHRANA,Russia
FFB,Africair Service,FOXTROT FOXTROT,Senegal
FFC,Fairoaks Flight Centre,FAIROAKS,United Kingdom
FFD,Stuttgarter Flugdienst,FIRST FLIGHT,Germany
FFF,Freedom Air Services,INTER FREEDOM,Nigeria
FFG,Flugdienst Fehlhaber,WITCHCRAFT,Germany
FFH,Shalom Air Services,PEACE AIR,Nigeria
FFI,Infinit Air,INFINIT,Spain
FFL,Intavia Limited,,United Kingdom
FFM,Firefly,FIREFLY,Malaysia
FFP,Fischer Air Polska,FLYING FISH,Poland
FFR,Fischer Air,FISCHER,Czech Republic
FFS,Florida Department of Agriculture,FORESTRY,United States
FFT,Frontier Airlines,FRONTIER FLIGHT,United States
FFU,GEC Marconi Avionics,FERRANTI,United Kingdom
FFV,Fly540,SWIFT TANGO,Kenya
FFY,Fun Flying Thai Air Service,FUN FLYING,Thailand
FGA,Georgian Aviation Federation,GEORGIA FED,Georgia
FGC,Departmento De Agricultura De La Generalitat De Cataluna,FORESTALES,Spain
FGL,Futura Gael,Applewood,Ireland
FGN,Gendarmie Nationale,FRANCE GENDARME,France
FGP,Flying-Research Aerogeophysical Center,FLYING CENTER,Russia
FGS,Elitellina,ELITELLINA,Italy
FGT,Aero Freight,FREIAERO,Mexico
FGY,Froggy Corporate Aviation,,Australia
FHE,Hello,FLYHELLO,Switzerland
FHI,FlyHigh Airlines Ireland (FH),FLYHIRELAND,Ireland
FHL,Fast Helicopters,FINDON,United Kingdom
FHS,Forth and Clyde Helicopter Services,HELISCOT,United Kingdom
FHY,Free Bird Airlines,FREE BIRD,Turkey
FIA,Four Island Air,ISLANDAIR,Antigua and Barbuda
FIC,Aerosafin,AEROSAFIN,Mexico
FIF,Air Finland,AIR FINLAND,Finland
FII,Aerodata Flight Inspection,FLIGHT CHECKER,Germany
FIL,Fly Line,FLYLINE,Spain
FIN,Finnair,FINNAIR,Finland
FIR,First Line Air,FIRSTLINE AIR,Sierra Leone
FIV,Citationshares,FIVE STAR,United States
FIX,Airfix Aviation,AIRFIX,Finland
FJC,Falcon Jet Centre,FALCONJET,United Kingdom
FJE,Silverjet,ENVOY,United Kingdom
FJI,Air Pacific,PACIFIC,Fiji
FJM,Fly Jamaica Airways,Greenheart,Jamaica
FJS,Florida Jet Service,FLORIDAJET,United States
FKA,Flying kangaroo Airline,Skippy,Australia
FKI,FLM Aviation Mohrdieck,KIEL AIR,Germany
FKL,Kelner Airways,KELNER,Canada
FKS,Focus Air,FOCUS,United States
FLA,Midway Express,PALM,United States
FLB,German Air Force - FLB,FLB,Germany
FLC,FINFO Flight Inspection Aircraft,FLIGHT CHECK,United States
FLD,Air Falcon,,Pakistan
FLE,Flair Airlines,FLAIR,Canada
FLF,Friendship Airlines,FRIEND AIR,Uganda
FLG,Pinnacle Airlines,FLAGSHIP,United States
FLH,Sky Bus,MILE HIGH,United States
FLI,Atlantic Airways,FAROELINE,Faroe Islands
FLK,Flylink Express,FLYLINK,Spain
FLL,Federal Airlines,FEDERAL AIRLINES,Sweden
FLM,Fly Air,FLY WORLD,Turkey
FLN,Flamingo Air-Line,ILIAS,Kazakhstan
FLO,Flycom,FLYCOM,Slovenia
FLP,Aeroclub Flaps,AEROCLUB FLAPS,Spain
FLR,Fleetair,FLEETAIR,South Africa
FLS,Fairlines,FAIRLINE,Netherlands
FLT,Flightline,FLIGHTLINE,United Kingdom
FLU,Flugschule Basel,YELLOW FLYER,Switzerland
FLW,FLowair Aviation,QUICKFLOW,France
FLX,Flight Express,FLIGHT EXPRESS,United States
FLY,Fly Me Sweden,FLYBIRD,Sweden
FLZ,Air Florida,AIR FLORIDA,United States
FMC,Claessens International Limited,CLAESSENS,United Kingdom
FMG,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,HUSKY,Germany
FMR,Flamingo Air,FLAMINGO AIR,United States
FMS,Hadison Aviation,HADI,United States
FMT,Air Fret De Mauritanie,,Mauritania
FMY,Aviation Legere De L'Armee De Terre,FRENCH ARMY,France
FNA,Norlandair,NORLAND,Iceland
FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
FNF,Finnish Air Force,FINNFORCE,Finland
FNG,Frontier Guard,FINNGUARD,Finland
FNK,Feniks Airline,AURIKA,Kazakhstan
FNL,Oulun Tilauslento,FINN FLIGHT,Finland
FNM,Avio Nord,,Italy
FNO,Aeroflota Del Noroeste,RIAZOR,Spain
FNT,L-3 Communications Flight Internation Aviation,FLIGHT INTERNATIONAL,United States
FNV,Transaviaservice,TRANSAVIASERVICE,Georgia
FNX,Aero Fenix,AERO FENIX,France
FNY,France Marine Nationale,FRENCH NAVY,France
FOB,Ford Motor Company,FORDAIR,United Kingdom
FOC,Office Federal De'Aviation Civile,FOCA,Switzerland
FOF,Fred. Olsen,,Norway
FOI,Flight Ops International,,United States
FOM,Freedom Air,FREE AIR,New Zealand
FOP,Fokker,,Netherlands
FOR,Formula One Management,FORMULA,United Kingdom
FOS,Formosa Airlines,,Taiwan
FOX,FOX Linhas Aereas,,Brazil
FPA,Flygprestanda,,Sweden
FPG,TAG Aviation,TAG AVIATION,Switzerland
FPO,Europe Airpost,FRENCH POST,France
FPR,Peruvian Air Force,,Peru
FPS,Flightpass Limited,FLIGHTPASS,United Kingdom
FPT,FlyPortugal,FlyPortugal,Portugal
FPY,African Company Airlines,AFRICOMPANY,Democratic Republic of the Congo
FQR,CheapFlyingInternational,cheapflying,France
FRA,FR Aviation,RUSHTON,United Kingdom
FRC,Icare Franche Compte,FRANCHE COMPTE,France
FRD,Ford Motor Company,FORD,United States
FRE,Freedom Air,FREEDOM,United States
FRF,Fly France,,France
FRG,Freight Runners Express,FREIGHT RUNNERS,United States
FRJ,Afrijet Airlines,AFRIJET,Nigeria
FRK,Afrika Aviation Handlers,AFRIFAST,Kenya
FRL,Freedom Airlines,FREEDOM AIR,United States
FRM,Federal Armored Service,FEDARM,United States
FRN,Farnair Netherlands,FARNED,Netherlands
FRQ,Afrique Chart'air,CHARTER AFRIQUE,Cameroon
FRR,Fresh Air,FRESH AIR,Nigeria
FRT,Aerofreight Airlines,,Russia
FRW,Farwest Airlines,FARWEST,United States
FSA,Foster Aviation,FOSTER-AIR,United States
FSB,FSB Flugservice & Development,SEABIRD,Germany
FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States
FSD,EFS-Flugservice,FLUGSERVICE,Germany
FSH,Flash Airlines,FLASH,Egypt
FSL,Flight Safety Limited,FLIGHTSAFETY,United Kingdom
FSR,Flightstar Corporation,FLIGHTSTAR,United States
FST,Aereos Limited,FAST TRACK,United Kingdom
FSU,Flight Support Sweden,,Sweden
FSW,Faso Airways,FASO,Burkina Faso
FSX,Flagship Express Services,FLAG,United States
FTA,Frontier Flying Service,FRONTIER-AIR,United States
FTC,Air Affaires Tchad,AFFAIRES TCHAD,Chad
FTE,Fotografia F3,FOTOGRAFIA,Spain
FTI,FTI Fluggesellschaft,,Germany
FTM,Flyteam Aviation,FLYTEAM,United Kingdom
FTP,Keystone Aerial Surveys,FOOTPRINT,United States
FTR,Finist'air,FINISTAIR,France
FTS,First Sabre,FIRST SABRE,Mexico
FTY,ABC Bedarsflug,FLY TYROL,Austria
FUA,Futura International Airways,FUTURA,Spain
FUJ,Fujairah Aviation Centre,FUJAIRAH,United Arab Emirates
FUN,Funtshi Aviation Service,FUNTSHI,Democratic Republic of the Congo
FVA,Cardinal/Air Virginia,AIR VIRGINIA,United States
FVG,VG Airlines (IV),Nico,Belgium
FVM,Flugfelag Vestmannaeyja,ELEGANT,Iceland
FVS,Falcon Aviation Services,FALCON AVIATION,United Arab Emirates
FWA,Interstate Airline,FREEWAYAIR,Netherlands
FWC,Freeway Air,FREEWAY,Netherlands
FWD,Fair Wind Air Charter,FAIR WIND,United Arab Emirates
FWI,Air Caraïbes,FRENCH WEST,France
FWL,Florida West International Airways,FLO WEST,United States
FWQ,Flight West Airlines,,Australia
FWY,Fairways Corporation,FAIRWAYS,United States
FWZ,Flugwerkzeuge Aviation Software,,Austria
FXA,Express Air,EFFEX,United States
FXC,Fortunair Canada,AIR FUTURE,Canada
FXF,VIP Air Charter,FOX FLIGHT,United States
FXI,Air Iceland,FAXI,Iceland
FXL,Fly Excellent,FLY EXCELLENT,Sweden
FXR,Foxair,WILDFOX,Italy
FXT,Flexflight,,Denmark
FXX,Felix Airways,,Yemen
FXY,Flexair,FLEXY,Netherlands
FYA,Servicios Aereos Integrales / Flyant,FLYANT,Spain
FYE,Easy Link Aviation Services,FLYME,Nigeria
FYG,Flying Service,FLYING GROUP,Belgium
FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand
FYJ,FLYJET,Fast Jet,Poland
FYN,Comfort Air,FLYNN,Germany
FYS,American Flyers,AMERICAN FLYERS,United States
FZA,Fuzhou Airlines,,China
FZW,Fly Africa Zimbabwe,Fresh Express,Zimbabwe
GAA,Business Express,BIZEX,United States
GAB,Gendall Air,GENDALL,Canada
GAD,South Coast Aviation,SOUTHCOAST,United Kingdom
GAE,Grand Aire Express,GRAND EXPRESS,United States
GAF,German Air Force,GERMAN AIR FORCE,Germany
GAG,Global Air Operations,GLOBAL AIRGROUP,Comoros
GAH,Ga-Ma Helicoptere,GAMHELICO,France
GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
GAK,Global Aviation and Services Group,AVIAGROUP,Libya
GAL,Galaxy Air,GALAXY,Kyrgyzstan
GAM,German Army,GERMAN ARMY,Germany
GAN,Gander Aviation,GANAIR,Canada
GAO,Golden Air,GOLDEN,Sweden
GAP,Air Philippines,ORIENT PACIFIC,Philippines
GAQ,Golfe Air Quebec,GOLFAIR,Canada
GAR,Commodore Aviation,,Australia
GAS,Galena Air Service,GALENA AIR SERVICE,United States
GAT,Gulf Air Inc,GULF TRANS,United States
